run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
120702,99461.6,156236,178309,117062,149301,157115,131997,126376,134487,165243,157999,123473,131539,136189,181359,128406,126501,137017,112524,135526,130692,94806.4,144290,180384,130435,139952,123683,146629,137969,137856
95320.9,68536.4,94092.2,112536,82418.2,105822,109463,91683.6,91997.6,94914.7,112154,97697.1,74193.7,93298.8,100877,122693,80795.5,78350.1,98349.8,84156,90763.7,84637.4,80848.5,90544.6,120824,88386.4,100302,77917.3,90269.3,91358.2,93506.7
66261.1,47029.8,60661.6,68036.3,59092,65033.5,75336.1,51134.5,51052.8,72746.8,71653,64109.9,46319.1,59749,62805.7,73344.1,50619,52879,72268.4,51711.6,55635.8,53836,50207.1,52792,76295.6,56872.4,59981.6,51660,60175.3,52382.6,59722.7
43159.8,29999.6,41187.2,38364.6,36623.2,36754.5,40799.8,26992.8,33154.5,47823.5,46437.1,36962.5,28160,38116.5,32905.8,44346.4,30622.1,31967.9,47568.4,36589.7,33320.9,36198.8,32863.6,29316.6,44708.4,29034.4,35704.2,31975.4,40237.5,27842,36324.6
25741.2,15362.5,24691.2,24146.2,22874.9,19649.2,21295,14301,21806.6,24872.9,24311,19775.9,13201.6,27331.2,17579.6,22587.2,19944.7,23174.6,26974.3,20283.5,18920.6,22521.7,17630.2,15544.1,26339.1,20806.4,18059.3,19813.2,29672.7,15492,21156.8
13086.6,7589.17,14844.7,13494.5,11392.1,10111.5,11310,8345.12,12900.6,13259.3,11435.2,9809.13,7713.87,15429.9,11498.3,13428.4,12143,12601.2,13462.6,13470.5,9539.42,11047.9,10578.3,8868.51,15687.3,12423.8,8641.97,11741.1,17075.6,8233.75,11705.5
6555.15,4200.09,7347.4,6947.66,7355.91,5382.7,6411.05,5032.98,6491.33,7234.44,5393.13,5746.16,6044.84,6725.16,6896.03,7465.1,5979.16,6068.9,6655.73,6397.64,5662.76,5960.64,5809.04,6796.96,7779.05,6009.63,6802.57,6231.74,9853.27,6018.95,6441.84
3439.11,1960.32,3556.65,2540.66,3678.3,2125.55,3128.16,2136.83,3296.5,3813.35,3938.13,3127.16,3411.92,3871.99,3615.66,2971.31,3477.54,3194.58,3051.48,2975.77,3450.11,3867.79,2981.68,3645.91,4480.42,4134.68,3352.41,3340.63,4557.04,2370.03,3316.39
1987.35,1213.94,2013.33,922.931,1428.41,980.32,1378.85,1177.44,1761.31,1730.12,1841.07,1599.38,1245.45,1741.1,2214.12,1611.8,1550.6,1511.81,1335.56,1635.89,1153.67,1337.47,1358.73,1490.39,2205.01,1751.91,1092.28,1448.03,1917.57,1617.88,1541.79
741.612,550.035,972.765,700.425,549.755,477.616,759.866,548.415,769.389,686.901,770.643,721.86,654.38,462.22,928.78,804.174,787.789,740.045,476.137,632.09,696.399,755.434,729.12,596.305,640.168,441.232,877.195,1102.83,866.258,648.694,702.951
435.675,402.682,392.935,270.069,299.368,384.16,389.658,382.321,279.764,437.853,357.715,302.23,312.264,462.22,371.498,518.54,259.546,357.872,434.623,398.989,428.64,603.805,388.941,348.599,358.452,355.418,290.683,451.227,375.354,414.842,382.198
341.554,241.401,229.179,270.069,179.203,232.895,169.071,279.012,219.899,341.096,224.942,302.23,267.057,331.167,318.516,263.625,251.422,349.115,262.717,261.286,269.011,321.378,243.063,348.599,237.985,186.48,227.757,266.041,253.915,309.467,266.638
241.939,204.3,224.665,236.016,179.203,217.16,169.071,279.012,219.899,341.096,224.942,266.507,239.995,307.5,255.558,214.319,222.978,296.746,216.917,252.1,243.739,262.156,208.858,210.123,190.557,186.48,227.757,227.499,251.486,236.05,235.154
241.626,139.373,189.34,210.284,149.902,187.886,169.071,253.507,204.783,266.605,224.942,222.106,138.255,292.579,192.13,214.319,188.151,283.912,190.675,177.061,185.917,250.856,177.523,210.123,190.557,156.853,202.645,227.499,197.105,236.05,205.721
227.79,139.373,189.34,174.812,134.01,179.829,154.972,220.338,204.783,169.168,212.243,180.233,125.91,279.061,175.528,192.949,181.746,247.08,190.675,149.429,185.917,230.597,162.992,210.123,147.901,156.853,161.217,168.014,187.606,222.27,185.425
227.79,134.659,174.112,168.299,134.01,177.637,114.345,220.338,204.783,124.276,212.243,146.787,125.91,211.519,157.915,192.949,168.253,207.589,144.37,149.429,138.164,165.016,144.601,165.773,128.757,113.862,161.217,168.014,187.606,197.992,165.607
227.79,134.659,146.137,168.299,134.01,169.746,114.345,215.286,195.266,107.126,181.163,146.787,117.925,211.519,101.805,192.949,130.805,171.3,144.37,137.814,138.164,165.016,114.543,161.291,128.757,113.862,141.853,162.931,154.246,197.992,154.258
166.729,119.499,137.606,144.064,134.01,169.746,105.433,215.286,122.454,107.126,167.734,126.247,98.0601,183.998,101.805,179.059,130.805,159.128,144.37,137.814,135.738,165.016,105.647,122.253,125.388,110.872,141.853,162.931,132.609,175.591,140.962
133.572,119.499,137.606,135.089,134.01,139.043,86.5369,215.286,122.454,105.93,167.734,126.247,98.0601,183.998,101.805,179.059,114.555,159.128,135.319,137.814,135.738,159.734,105.647,122.253,125.388,110.872,141.853,159.821,132.609,157.143,136.127
133.572,113.537,111.635,132.407,131.504,133.026,86.5369,170.002,114.914,105.93,160.098,126.247,75.1569,175.976,101.805,179.059,110.123,148.769,135.319,129.226,135.738,159.734,97.3686,98.2901,125.388,99.3013,140.123,159.821,102.659,157.143,128.347
128.732,111.707,111.635,120.936,131.504,133.026,86.5369,166.889,114.914,105.93,151.578,126.247,75.1569,175.976,101.805,177.711,110.123,148.769,135.319,128.57,130.679,146.248,97.3686,98.2901,108.942,94.411,140.072,159.821,97.1843,157.143,125.774
