run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
82.3967,121.717,116.931,75.3347,119.804,109.803,117.211,83.8045,100.722,96.7454,118.025,78.9798,78.6582,87.112,114.68,120.992,115.676,88.1182,114.832,100.369,101.24,107.509,107.457,103.523,104.812,98.1596,97.9635,107.963,109.327,92.1896,102.402
82.3967,66.5632,116.931,75.3347,112.543,92.6951,108.133,80.7451,100.722,81.9684,89.2329,78.9798,78.6582,87.112,106.382,73.7379,81.8061,88.1182,99.8436,100.369,95.4169,105.951,103.336,103.523,104.416,98.1596,97.9635,88.5557,109.164,91.174,93.331
82.3967,66.5632,101.266,75.3347,108.671,92.6951,96.0172,80.7451,88.0408,81.9684,89.2329,78.9798,75.6895,87.112,101.702,73.7379,81.8061,83.7321,72.9406,88.8094,95.4169,97.9246,77.5753,100.742,88.486,50.8421,92.3459,88.5557,109.164,70.6478,85.9714
81.8694,61.6369,65.2857,75.3347,78.5591,79.0748,90.4462,80.7451,71.1776,81.9684,89.2329,77.3413,61.8016,77.2829,99.9439,73.7379,81.8061,79.2694,56.752,76.1505,75.6016,77.782,77.5753,82.3058,87.6785,50.8421,79.1058,86.5251,74.1037,70.6478,76.7195
66.221,61.6369,65.2857,75.3347,78.5591,69.388,80.2558,80.7451,71.1776,81.9684,65.8657,77.3413,61.8016,67.6325,85.2945,73.7379,81.8061,79.2694,56.752,70.2872,75.6016,77.782,77.5753,82.3058,62.2043,49.0577,66.5077,64.2396,74.1037,70.6478,71.6795
66.221,61.6369,62.0226,75.3347,45.1954,67.19,80.2558,72.8961,71.1776,79.6285,43.6123,73.0885,61.8016,67.6325,62.5221,73.7379,70.581,54.3442,56.752,52.664,75.4102,49.8467,62.8088,70.235,62.2043,49.0577,61.1617,64.2396,74.1037,70.6478,64.6003
42.3884,61.6369,40.9266,41.8095,45.1954,67.19,80.2558,65.4872,66.8702,67.3091,43.6123,59.9947,61.8016,46.3519,62.5221,62.1061,70.581,54.3442,56.752,52.664,58.652,49.8467,62.8088,60.8686,55.1258,49.0577,54.1449,59.8297,69.1144,69.7221,57.9657
42.3884,61.6369,40.9266,41.8095,45.1954,67.19,68.6464,35.3159,66.8702,59.7386,43.6123,59.9947,61.8016,46.3519,62.5221,60.9959,61.9067,50.8561,56.752,52.664,58.652,49.8467,62.8088,57.5797,45.32,49.0577,51.321,59.8297,54.7875,63.2347,54.6538
41.1694,61.6369,40.9266,41.8095,45.1954,47.2196,66.415,35.3159,66.8702,59.7386,43.6123,59.9947,49.7744,46.3519,50.2102,60.9959,50.7069,43.2995,56.752,52.664,45.4793,49.8467,46.6003,57.5797,45.32,49.0577,51.321,51.8329,54.7875,56.9138,50.9799
41.1694,61.6369,40.9266,41.8095,45.1954,38.8507,62.1673,35.3159,60.5012,59.7386,43.6123,36.7685,49.7744,46.3519,50.2102,53.3916,50.7069,43.2995,56.752,51.5691,45.4793,49.8467,46.6003,49.4174,45.32,44.1778,51.1133,51.8329,54.7875,37.7654,48.2029
41.1694,61.6369,40.9266,41.8095,32.7528,35.3643,60.8024,35.3159,54.28,50.7796,43.6123,31.6317,49.7744,46.3519,33.8913,53.3916,50.4131,43.2995,54.0385,49.4602,42.1988,49.8467,46.6003,49.4174,45.32,44.1778,51.1133,47.8215,49.8585,37.7654,45.8274
36.1946,38.8379,40.9266,41.8095,32.7528,35.3643,60.8024,35.3159,51.2982,50.7796,40.1328,31.6317,49.7744,46.3519,33.8913,45.9466,41.1516,43.2995,42.3806,46.403,42.1988,33.2844,46.6003,49.4174,45.32,43.0532,48.1924,47.8215,49.8585,37.7654,42.9519
36.1946,38.8379,26.1292,41.4467,32.7528,35.3643,43.9293,35.2734,50.9138,36.7102,38.9359,29.0228,49.7744,44.5625,33.8913,45.3051,41.1516,43.2995,42.3806,46.403,42.1988,33.2844,46.6003,46.0967,45.32,43.0532,39.6445,47.8215,48.8913,37.7654,40.7652
36.1946,33.465,26.1292,24.8704,32.7528,35.3643,43.9293,35.2734,43.0387,36.7102,38.0571,29.0228,49.7744,44.5625,33.8913,35.4652,35.3242,43.2995,39.2025,46.403,27.2677,33.2844,40.1055,46.0967,38.2002,30.2832,39.6445,47.8215,48.8913,36.4056,37.691
36.1946,33.465,26.1292,24.8704,32.7528,29.26,43.9293,31.6987,27.7395,35.6281,38.0571,29.0228,49.7744,44.5625,33.8913,35.4652,35.3242,43.2995,39.2025,36.4581,27.2677,33.2844,34.5306,46.0967,38.2002,30.2832,39.6445,47.8215,48.122,36.4056,36.2794
36.1946,33.465,26.1292,24.8704,32.7528,29.26,43.9293,31.6987,27.7395,31.8961,38.0571,29.0228,47.5883,40.3442,24.77,35.4652,28.6027,43.2995,32.8521,36.4581,27.2677,33.2844,21.8133,45.4734,38.2002,29.362,36.9296,47.8215,45.8522,29.6364,34.3345
36.1946,33.465,26.1292,24.8704,32.7528,24.792,43.9293,29.1119,27.7395,18.8423,38.0571,27.9534,47.5883,40.3442,24.77,31.0011,28.6027,40.2832,32.8521,27.084,27.2677,33.2844,21.8133,45.4734,38.2002,29.362,33.862,47.8215,31.6078,28.208,32.4421
32.3564,33.465,26.1292,24.6338,32.7528,24.792,43.9293,29.1119,27.7395,18.8423,34.1601,13.4025,35.8024,40.3442,24.5948,31.0011,28.6027,40.2832,31.1617,27.084,26.0868,33.2844,21.8133,41.3519,35.0768,29.362,32.7686,47.8215,31.6078,28.208,30.919
32.3564,33.465,26.1292,24.6338,20.8246,24.792,40.4195,29.1119,22.7479,15.7937,31.4111,13.4025,35.8024,39.0931,24.5948,30.9479,28.6027,35.082,23.6944,27.084,26.0868,30.1971,18.2153,39.7251,33.3997,20.1916,27.4598,46.7079,31.6078,25.4883,28.6356
32.3564,33.465,26.1292,24.6338,20.8246,24.792,40.4195,29.1119,22.7479,15.7937,31.4111,13.4025,35.8024,34.5136,24.5948,30.9479,28.6027,35.082,23.6944,27.084,26.0868,29.8657,17.4957,26.3398,22.3316,20.1916,21.9701,39.8379,31.6078,16.9909,26.9376
22.8822,33.465,26.1292,24.6338,20.8246,24.792,35.5249,29.1119,21.7899,15.7937,31.4111,12.9307,35.8024,32.0367,24.5948,30.9479,23.403,33.746,23.6944,26.1249,21.7384,29.8657,17.4957,26.3398,22.3316,20.1916,20.5995,39.8379,27.1999,16.9909,25.741
22.8822,33.465,26.1292,22.2195,20.8246,24.792,22.108,29.1119,19.4063,15.7937,29.3932,12.9307,35.8024,19.4104,24.5948,21.3899,23.403,33.746,23.6944,26.1249,21.7384,25.3986,16.3592,26.3398,22.3316,20.1916,20.5995,39.8379,27.1104,16.9909,24.1373
22.8822,33.465,26.1292,20.9837,20.8246,24.792,22.108,29.1119,19.4063,13.0841,29.3932,9.84115,35.8024,19.4104,24.5948,21.3899,23.403,31.9686,23.6944,26.1249,21.7384,22.6239,16.3592,26.3398,16.6969,20.1916,20.5995,39.8379,27.1104,16.9909,23.5633
22.8822,33.465,26.1292,20.9837,20.8246,24.792,22.108,29.1119,19.4063,13.0841,24.2042,9.84115,26.9985,19.4104,24.5948,21.3899,23.403,31.9686,23.6944,26.1249,16.7151,19.1574,16.3592,26.3398,16.6969,20.1916,20.5995,39.8379,27.1104,16.9909,22.8139
22.8822,33.465,26.1292,20.9837,17.6877,24.792,21.4934,29.1119,15.5834,13.0841,24.2042,9.84115,26.9985,19.4104,24.5948,21.3899,23.403,27.3016,23.6944,26.1249,16.7151,13.6409,16.3592,26.3398,16.6969,20.1916,20.5995,39.8379,27.1104,16.9909,22.2219
22.8822,33.465,26.1292,18.7703,14.2893,24.792,21.4934,27.6763,15.5834,13.0841,21.1101,9.84115,26.9985,19.4104,24.5948,21.3899,16.5171,27.3016,23.6522,26.1249,16.7151,13.6409,16.3592,17.2923,14.3688,20.1916,20.5995,35.7149,27.1104,16.9909,21.1363
22.8822,33.465,25.5223,18.7703,13.6513,24.792,18.6471,26.7589,15.5834,13.0841,21.1101,9.84115,26.9985,16.0229,21.3461,21.3899,16.5171,20.5361,22.5033,23.3747,16.7151,13.6409,16.3592,17.2923,14.3688,17.4081,20.5174,35.7149,24.4456,16.9909,20.2083
22.8822,33.465,25.5223,18.7703,11.6127,24.792,15.5902,26.7589,15.5834,13.0841,21.1101,9.84115,26.9985,16.0229,21.3461,21.3899,16.5171,20.5361,19.3607,17.5961,16.7151,13.6409,16.3592,17.2923,14.3688,17.4081,20.5174,31.0302,24.4456,16.9909,19.5849
22.8822,33.465,22.0274,18.0132,11.6127,20.8238,15.5902,26.2686,15.5834,13.0841,21.1101,9.84115,26.9985,16.0229,20.1441,21.3899,16.5171,16.0584,17.6071,17.5961,16.7151,13.6409,14.9579,17.2923,14.3688,16.3301,18.1716,31.0302,22.042,16.9909,18.8059
22.8822,33.465,22.0274,18.0132,11.6127,20.8238,15.5902,26.2686,15.5834,13.0841,21.1101,9.84115,26.9985,16.0229,20.1441,21.3899,10.8341,16.0584,17.6071,17.5961,16.7151,13.6409,14.9579,17.2923,14.3688,15.3942,18.1716,31.0302,17.4813,16.9909,18.4332
22.8822,31.5745,22.0274,18.0132,11.6127,20.8238,15.5902,26.2686,15.5834,13.0841,21.1101,9.84115,26.9985,16.0229,20.1441,21.3899,10.8341,15.2421,17.6071,17.5961,16.7151,13.6409,13.4449,17.2923,14.3688,15.3942,17.9302,31.0302,17.4813,15.7358,18.2427
22.8822,30.4243,22.0274,13.2853,11.6127,17.6555,15.5902,20.0522,15.5834,13.0841,19.8483,9.84115,25.9206,16.0229,14.1186,21.3899,10.8341,15.2421,17.6071,17.5961,16.7151,13.6409,13.4449,17.2923,14.3688,15.3942,17.9302,31.0302,17.4813,15.7358,17.4551
22.8822,29.53,22.0274,13.2853,10.5151,16.4057,15.5902,20.0522,15.5834,13.0841,17.5874,9.84115,22.4775,16.0229,14.1186,17.8414,10.8341,15.2421,17.252,17.5961,16.7151,13.6409,13.4449,14.3421,14.3688,15.3942,13.7778,31.0302,15.9867,15.7358,16.7402
22.8822,29.53,22.0274,13.2853,10.1321,16.4057,15.5902,18.2532,15.5834,13.0841,17.5874,9.73858,22.4775,16.0229,14.1186,17.8414,10.8341,15.2421,17.252,17.5961,15.9783,13.6409,13.4449,14.3421,13.4743,14.85,13.4213,31.0302,15.9867,12.4737,16.4709
22.8822,25.863,22.0274,12.8185,10.1321,16.4057,13.9904,18.2532,15.4917,13.0841,17.5874,9.73858,22.4775,13.7663,14.1186,17.8414,10.8341,15.2421,17.252,17.5961,15.9783,13.6409,9.69768,14.3421,13.4743,14.85,13.4213,27.6603,15.9867,12.4737,15.9643
22.8822,25.863,20.7665,12.8185,10.1321,16.4057,13.9904,18.2532,14.9778,13.0841,15.2917,9.36245,20.3109,13.7663,14.1186,17.8414,10.8341,15.2421,17.252,17.5961,15.9783,13.6409,8.76526,14.3421,12.9083,14.85,13.4213,27.6603,15.8818,12.4737,15.6904
22.8822,24.9073,20.7665,12.8185,10.1321,16.4057,13.9904,18.2532,14.9778,13.0501,15.2917,9.36245,20.3109,13.7663,14.1186,12.653,10.8341,14.7436,15.6158,17.5961,15.0042,13.6409,8.76526,13.4778,12.9083,11.5316,13.4213,27.6603,15.8818,12.4737,15.2414
22.8822,24.9073,20.7665,12.8185,10.1321,16.4057,13.9204,17.2758,12.2596,9.68886,15.2917,9.36245,20.3109,13.7663,14.1186,12.653,10.8341,14.7436,15.6158,17.5961,15.0042,13.6409,8.76526,13.4778,10.0497,10.4824,13.4213,23.444,15.8818,12.4737,14.733
22.8822,24.9073,20.7665,12.8185,10.1321,16.4057,13.9204,17.2758,12.2596,9.68886,15.2917,9.36245,20.3109,13.7663,13.6519,12.653,10.8341,14.7436,15.6158,11.5859,14.7331,13.6409,8.76526,13.4778,10.0497,10.4824,13.4213,23.444,15.8818,12.4737,14.5081
16.9677,24.9073,20.7665,12.8185,10.1321,16.4057,11.4074,15.4859,12.2596,9.68886,14.2613,7.1812,20.3109,13.7663,13.6519,12.653,10.8341,14.7436,15.6158,11.5859,14.7331,13.6409,8.76526,13.4778,10.0497,10.4824,13.4213,23.444,15.8818,12.4737,14.0605
16.9677,24.9073,20.7665,12.8185,10.1321,16.4057,11.4074,15.4859,12.2596,9.68886,14.2613,7.1812,20.3109,13.7663,13.6519,12.653,10.8341,9.2103,15.6158,11.5859,14.4258,13.6409,8.76526,13.4778,10.0497,10.4155,13.4213,23.444,15.8818,12.4737,13.8635
16.9677,24.9073,20.7665,12.8185,10.1321,16.4057,11.4074,15.4859,12.2596,9.68886,14.2613,7.1812,17.2605,13.7663,13.6519,12.653,10.8341,9.2103,15.6158,11.5859,14.4258,13.6409,8.76526,13.3137,9.82749,10.4155,13.4213,23.444,15.8818,12.4737,13.749
16.9677,24.9073,20.7665,12.8185,10.0617,15.6567,11.4074,15.4859,12.2596,9.68886,14.2613,7.1812,17.2605,13.7663,13.6519,12.653,10.8341,9.2103,15.6158,11.5859,12.4523,13.6409,8.76526,13.3137,9.82749,10.4155,13.4213,21.0573,15.8818,12.4737,13.5763
16.9677,24.9073,20.7665,12.8185,10.0617,15.0336,11.4074,15.4859,12.2596,9.68886,14.2613,7.1812,17.2605,11.5829,13.6519,12.653,10.8341,9.2103,15.6158,11.5859,9.45225,13.2706,8.76526,13.3137,9.82749,10.4155,13.4213,21.0573,15.5302,12.4737,13.3587
16.9677,24.6034,20.7665,12.8185,10.0617,15.0336,11.4074,15.4859,12.2596,9.68886,14.2613,7.1812,17.2605,11.5829,13.6519,12.653,10.346,9.2103,15.6158,9.22371,9.45225,13.2706,8.76526,13.3137,9.82749,10.4155,13.4213,21.0573,15.5302,11.0039,13.2046
16.9677,24.6034,20.7665,12.8185,10.0617,15.0336,11.4074,15.4859,12.2596,9.68886,14.2613,7.1812,17.2605,9.59719,13.6519,12.653,10.1616,9.2103,15.6158,9.22371,9.45225,13.2706,8.76526,12.9305,9.82749,10.4155,13.4213,21.0573,10.7032,11.0039,12.9586
16.9677,24.6034,20.7665,12.8185,10.0617,15.0336,11.4074,15.4859,12.2596,9.68886,14.2613,7.1812,17.2605,9.59719,13.6519,12.1601,10.1616,9.2103,15.6158,9.22371,9.45225,12.7553,8.76526,12.9305,9.82749,10.4155,13.4213,21.0573,10.7032,11.0039,12.925
16.9677,24.6034,20.7665,12.8185,9.56511,15.0336,11.4074,15.3384,11.4122,9.68886,14.2613,7.1812,17.2605,9.59719,13.6519,10.7347,10.1616,9.2103,14.6656,9.22371,9.45225,12.7553,8.76526,12.9305,9.82749,10.4155,13.4213,21.0573,10.7032,11.0039,12.7961
16.9677,24.5029,20.6255,12.8185,9.17607,15.0336,11.4074,15.3384,11.4122,9.68886,14.2613,7.1812,15.6059,9.59719,13.6519,10.7347,10.1616,9.2103,14.6656,9.22371,9.45225,12.7553,8.76526,12.9305,9.82749,10.409,11.9184,21.0573,10.7032,11.0039,12.6696
16.9677,24.5029,15.964,12.8185,9.17607,15.0336,11.4074,15.3384,11.4122,9.68886,14.2613,7.1812,13.2968,9.59719,13.6519,10.7347,10.1616,9.2103,14.6656,9.22371,9.45225,12.7553,8.76526,12.1689,9.82749,10.409,11.9184,18.9289,10.7032,11.0039,12.3409
16.9677,23.4883,15.964,12.8185,9.17607,15.0336,11.4074,15.3384,11.4122,9.68886,14.2613,7.07,13.2968,9.59719,13.6519,9.32453,10.1552,9.2103,14.6656,9.1598,9.45225,12.7553,8.76526,12.1689,9.82749,10.409,10.9675,18.9289,10.7032,11.0039,12.2223
16.9677,23.4883,15.4556,12.8185,9.17607,15.0336,11.4074,15.3384,11.4122,9.68886,14.2613,7.07,13.2968,9.59719,13.6519,9.32453,10.1552,9.2103,12.8684,9.1598,9.45225,12.7553,8.76526,12.1689,9.82749,10.409,10.9675,18.9289,10.7032,8.81299,12.0724
15.2086,22.7218,15.4556,12.8185,9.17607,15.0336,11.4074,15.3384,11.4122,9.68886,14.2613,7.07,13.2968,9.59719,13.6519,9.32453,8.88249,9.2103,12.8684,9.1598,9.45225,12.7553,8.76526,12.1689,9.82749,10.409,9.69693,18.866,10.7032,8.81299,11.9014
15.2086,22.7218,15.4556,12.8185,9.17607,15.0336,11.4074,15.3384,11.4122,9.68886,14.2613,7.07,13.2968,9.59719,13.6519,9.32453,8.88249,9.2103,12.8684,9.1598,9.45225,12.7553,8.76526,12.1332,9.82749,10.409,8.40588,18.866,10.7032,8.81299,11.8571
15.2086,19.5657,15.4556,12.8185,8.9687,14.6745,11.4074,15.3384,11.4122,9.68886,14.2613,7.07,13.2968,9.59719,13.6519,9.32453,8.88249,9.2103,12.8684,9.1598,9.45225,12.7553,8.76526,9.45138,9.82749,10.409,8.40588,18.866,10.7032,8.81299,11.6437
15.2086,19.5657,15.4556,12.8185,8.9687,14.6745,11.4074,15.3384,10.445,9.68886,14.2613,7.07,12.4434,9.59719,13.6519,9.32453,8.88249,9.2103,12.8684,9.1598,9.45225,12.7553,8.76526,9.45138,9.8005,10.409,8.30132,18.866,10.7032,8.81299,11.5786
15.2086,19.5657,14.6581,12.8185,8.9687,14.6745,11.4074,15.3384,10.445,9.68719,14.2613,7.07,12.4434,8.42189,13.6519,9.32453,8.55227,9.2103,12.8684,9.1598,8.88288,12.7553,8.76526,9.43204,9.8005,10.409,8.30132,18.866,10.7032,8.81299,11.4821
15.2017,19.5657,14.6581,12.8185,8.9687,14.6745,11.4074,15.3384,9.74242,9.68719,14.2613,7.07,12.4434,8.42189,13.6519,9.32453,8.55227,9.2103,12.6231,9.1598,8.88288,12.7553,8.76526,9.43204,9.8005,10.409,8.30132,18.866,10.7032,8.81299,11.4503
15.2017,18.8768,12.4239,12.8185,8.9687,14.6745,11.4074,15.3384,9.74242,9.68719,14.2613,7.07,12.4434,8.42189,13.6519,9.32453,8.44572,9.2103,12.6231,8.12038,8.88288,12.7553,8.76526,7.81651,9.8005,10.409,8.25038,18.866,10.7032,8.81299,11.2591
